序号,书号,图书名称,册数,单价,出版社,类别,出版日期,再版日期,作者,印刷种类,印张,开本,版次,用纸规格,页数,字数/千字
1,9787551302562    ,近代名人文库精萃--林纾 左宗棠,1,32.00 ,太白文艺,I.文学,2012.06,2012.06,林纾 左宗棠,单色,16.00 ,16,1版1次,700*960,250,240
2,9787551302593    ,近代名人文库精萃—宋教仁 秋瑾 黄兴,1,18.00 ,太白文艺,I.文学,2012.06,2012.06,宋教仁 秋瑾 黄兴,单色,9.00 ,16,1版1次,700*960,140,140
3,9787551302579    ,近代名人文库精萃-林则徐 魏源,1,18.00 ,太白文艺,I.文学,2012.06,2012.06,林则徐 魏源,单色,9.00 ,16,1版1次,700*960,140,140
4,9787551302630    ,近代名人文库精萃-翁同龢 康有为,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,翁同龢 康有为,单色,12.00 ,16,1版1次,700*960,188,185
5,9787551302692    ,近代名人文库精萃-蔡锷 黄遵宪,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,蔡锷 黄遵宪,单色,13.00 ,16,1版1次,700*960,200,200
6,9787551302623    ,近代名人文库精萃-文廷式 苏曼殊,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,文廷式 苏曼殊,单色,13.00 ,16,1版1次,700*960,200,200
7,9787551302555    ,近代名人文库精萃-梁启超 谭嗣同,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,梁启超 谭嗣同,单色,13.00 ,16,1版1次,700*960,204,200
8,9787551302685    ,近代名人文库精萃-胡适（上）,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,胡适,单色,12.00 ,16,1版1次,700*960,186,190
9,9787551302685    ,近代名人文库精萃-胡适（下）,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,胡适,单色,12.00 ,16,1版1次,700*960,186,190
10,9787551302616    ,近代名人文库精萃-王国维,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,王国维,单色,12.00 ,16,1版1次,700*960,188,185
11,9787551302654    ,近代名人文库精萃-曾国藩（上）,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,曾国藩,单色,12.00 ,16,1版1次,700*960,176,185
12,9787551302654    ,近代名人文库精萃-曾国藩（下）,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,曾国藩,单色,12.00 ,16,1版1次,700*960,176,185
13,9787551302715    ,近代名人文库精萃-龚自珍 严复,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,龚自珍 严复,单色,13.00 ,16,1版1次,700*960,198,200
14,9787551302586    ,近代名人文库精萃-鲁迅（上）,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,鲁迅,单色,13.00 ,16,1版1次,700*960,204,200
15,9787551302586    ,近代名人文库精萃-鲁迅（下）,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,鲁迅,单色,13.00 ,16,1版1次,700*960,204,200
16,9787551302647    ,近代名人文库精萃-徐志摩,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,徐志摩,单色,13.00 ,16,1版1次,700*960,204,200
17,9787551302708    ,近代名人文库精萃-蔡元培（上）,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,蔡元培,单色,12.00 ,16,1版1次,700*960,188,190
18,9787551302708    ,近代名人文库精萃-蔡元培（下）,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,蔡元培,单色,12.00 ,16,1版1次,700*960,188,190
19,9787551302531    ,近代名人文库精萃-章太炎 邹荣,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,章太炎 邹荣,单色,12.00 ,16,1版1次,700*960,188,185
20,9787551302722    ,近代名人文库精萃-洪秀全 洪仁玕,1,26.00 ,太白文艺,I.文学,2012.06,2012.06,洪秀全 洪仁玕,单色,13.00 ,16,1版1次,700*960,204,200
21,9787551302548    ,近代名人文库精萃-李鸿章 胡林翼 张之洞,1,24.00 ,太白文艺,I.文学,2012.06,2012.06,李鸿章 胡林翼 张之洞,单色,12.00 ,16,1版1次,700*960,184,185
